,LargeCategoryId,MediumCategoryId,SmallCategoryId,yearId,colorId,segment,file_name,file_path
0,중형차,아우디,A4,2017,검정,side,C_211222_AU_006_17_BK_A_T_02_002.jpg,C:/Users/USER/cp2/crop_data/VS1/AU_아우디/006_A4/2017_검정_트림/C_211222_AU_006_17_BK_A_T_02_002.jpg
1,중형차,아우디,A4,2017,검정,side,C_211222_AU_006_17_BK_A_T_02_005.jpg,C:/Users/USER/cp2/crop_data/VS1/AU_아우디/006_A4/2017_검정_트림/C_211222_AU_006_17_BK_A_T_02_005.jpg
2,중형차,아우디,A4,2017,검정,side,C_211222_AU_006_17_BK_A_T_03_009.jpg,C:/Users/USER/cp2/crop_data/VS1/AU_아우디/006_A4/2017_검정_트림/C_211222_AU_006_17_BK_A_T_03_009.jpg
3,중형차,아우디,A4,2017,검정,side,C_211222_AU_006_17_BK_A_T_03_013.jpg,C:/Users/USER/cp2/crop_data/VS1/AU_아우디/006_A4/2017_검정_트림/C_211222_AU_006_17_BK_A_T_03_013.jpg
4,중형차,아우디,A4,2017,검정,side,C_211222_AU_006_17_BK_A_T_03_014.jpg,C:/Users/USER/cp2/crop_data/VS1/AU_아우디/006_A4/2017_검정_트림/C_211222_AU_006_17_BK_A_T_03_014.jpg
5,중형차,아우디,A4,2017,검정,side,C_211222_AU_006_17_BK_A_T_03_019.jpg,C:/Users/USER/cp2/crop_data/VS1/AU_아우디/006_A4/2017_검정_트림/C_211222_AU_006_17_BK_A_T_03_019.jpg
6,중형차,아우디,A4,2017,검정,side,C_211222_AU_006_17_BK_A_T_03_024.jpg,C:/Users/USER/cp2/crop_data/VS1/AU_아우디/006_A4/2017_검정_트림/C_211222_AU_006_17_BK_A_T_03_024.jpg
7,중형차,아우디,A4,2017,검정,side,C_211223_AU_006_17_BK_B_T_02_001.jpg,C:/Users/USER/cp2/crop_data/VS1/AU_아우디/006_A4/2017_검정_트림/C_211223_AU_006_17_BK_B_T_02_001.jpg
8,중형차,아우디,A4,2017,검정,side,C_211223_AU_006_17_BK_B_T_02_005.jpg,C:/Users/USER/cp2/crop_data/VS1/AU_아우디/006_A4/2017_검정_트림/C_211223_AU_006_17_BK_B_T_02_005.jpg
9,중형차,아우디,A4,2017,검정,side,C_211223_AU_006_17_BK_B_T_03_005.jpg,C:/Users/USER/cp2/crop_data/VS1/AU_아우디/006_A4/2017_검정_트림/C_211223_AU_006_17_BK_B_T_03_005.jpg
10,중형차,아우디,A4,2017,검정,side,C_211223_AU_006_17_BK_B_T_03_009.jpg,C:/Users/USER/cp2/crop_data/VS1/AU_아우디/006_A4/2017_검정_트림/C_211223_AU_006_17_BK_B_T_03_009.jpg
11,중형차,아우디,A4,2017,검정,side,C_211223_AU_006_17_BK_B_T_03_012.jpg,C:/Users/USER/cp2/crop_data/VS1/AU_아우디/006_A4/2017_검정_트림/C_211223_AU_006_17_BK_B_T_03_012.jpg
12,중형차,아우디,A4,2017,검정,side,C_211223_AU_006_17_BK_B_T_03_024.jpg,C:/Users/USER/cp2/crop_data/VS1/AU_아우디/006_A4/2017_검정_트림/C_211223_AU_006_17_BK_B_T_03_024.jpg
13,중형차,아우디,A4,2017,회색,side,C_211220_AU_006_17_GR_A_T_02_011.jpg,C:/Users/USER/cp2/crop_data/VS1/AU_아우디/006_A4/2017_회색_트림/C_211220_AU_006_17_GR_A_T_02_011.jpg
14,중형차,아우디,A4,2017,회색,side,C_211220_AU_006_17_GR_B_T_02_002.jpg,C:/Users/USER/cp2/crop_data/VS1/AU_아우디/006_A4/2017_회색_트림/C_211220_AU_006_17_GR_B_T_02_002.jpg
15,중형차,아우디,A4,2017,회색,side,C_211220_AU_006_17_GR_B_T_03_023.jpg,C:/Users/USER/cp2/crop_data/VS1/AU_아우디/006_A4/2017_회색_트림/C_211220_AU_006_17_GR_B_T_03_023.jpg
16,중형차,아우디,A4,2017,회색,side,C_211221_AU_006_17_GR_C_T_02_008.jpg,C:/Users/USER/cp2/crop_data/VS1/AU_아우디/006_A4/2017_회색_트림/C_211221_AU_006_17_GR_C_T_02_008.jpg
17,중형차,아우디,A4,2017,회색,side,C_211221_AU_006_17_GR_C_T_02_012.jpg,C:/Users/USER/cp2/crop_data/VS1/AU_아우디/006_A4/2017_회색_트림/C_211221_AU_006_17_GR_C_T_02_012.jpg
18,중형차,아우디,A4,2017,회색,side,C_211221_AU_006_17_GR_C_T_03_002.jpg,C:/Users/USER/cp2/crop_data/VS1/AU_아우디/006_A4/2017_회색_트림/C_211221_AU_006_17_GR_C_T_03_002.jpg
19,중형차,아우디,A4,2017,회색,side,C_211221_AU_006_17_GR_C_T_03_013.jpg,C:/Users/USER/cp2/crop_data/VS1/AU_아우디/006_A4/2017_회색_트림/C_211221_AU_006_17_GR_C_T_03_013.jpg
20,중형차,아우디,A4,2017,회색,side,C_211221_AU_006_17_GR_C_T_03_018.jpg,C:/Users/USER/cp2/crop_data/VS1/AU_아우디/006_A4/2017_회색_트림/C_211221_AU_006_17_GR_C_T_03_018.jpg
